Locality,Type of property,Subtype of property,Price,Type of sale,Bedrooms,Living area,Kitchen type,Furnished,How many fireplaces?,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition
2800,HOUSE,HOUSE,265000,sale,2,105,SEMI_EQUIPPED,,False,20,65,105,2,False,TO_RENOVATE
6950,HOUSE,HOUSE,249000,sale,3,120,INSTALLED,,False,15,100,120,2,False,JUST_RENOVATED
2800,HOUSE,HOUSE,319000,sale,3,132,SEMI_EQUIPPED,,False,20,105,132,2,False,TO_RENOVATE
1300,HOUSE,APARTMENT_BLOCK,645000,sale,4,173,INSTALLED,False,False,30,200,173,3,False,GOOD
4040,HOUSE,HOUSE,144000,sale,3,100,INSTALLED,False,False,11,30,100,2,False,GOOD
9600,HOUSE,HOUSE,195000,sale,2,154,INSTALLED,,False,18,116,154,2,False,JUST_RENOVATED
4032,HOUSE,HOUSE,190000,sale,2,90,SEMI_EQUIPPED,False,False,False,110,90,2,False,TO_BE_DONE_UP
4460,HOUSE,HOUSE,378000,sale,3,240,SEMI_EQUIPPED,,False,False,1184,240,4,False,TO_BE_DONE_UP
4400,HOUSE,HOUSE,279000,sale,3,130,INSTALLED,,False,40,440,130,3,False,JUST_RENOVATED
2140,HOUSE,HOUSE,439000,sale,3,167,HYPER_EQUIPPED,,False,5,19,167,2,False,JUST_RENOVATED
5377,HOUSE,HOUSE,229000,sale,4,247,NOT_INSTALLED,False,False,30,740,247,4,False,TO_BE_DONE_UP
5377,HOUSE,HOUSE,285000,sale,4,212,INSTALLED,False,1,20,731,212,4,False,GOOD
4053,HOUSE,HOUSE,950000,sale,5,390,INSTALLED,,False,False,1059,390,4,True,AS_NEW
1130,HOUSE,HOUSE,495000,sale,5,221,HYPER_EQUIPPED,False,False,52,120,221,2,False,AS_NEW
2610,HOUSE,HOUSE,319000,sale,2,117,False,,False,False,90,117,2,False,TO_BE_DONE_UP
2620,HOUSE,HOUSE,239000,sale,2,98,INSTALLED,,False,False,24,98,2,False,AS_NEW
2870,HOUSE,HOUSE,294000,sale,3,148,SEMI_EQUIPPED,,False,11,51,148,2,False,GOOD
4500,APARTMENT,APARTMENT,175000,sale,2,107,INSTALLED,,False,False,False,107,3,False,TO_BE_DONE_UP
1861,HOUSE,HOUSE,1100000,sale,4,350,NOT_INSTALLED,False,False,False,2100,350,4,False,GOOD
9310,HOUSE,VILLA,690000,sale,5,270,False,,False,False,False,270,4,False,GOOD
2000,APARTMENT,APARTMENT,525000,sale,2,False,HYPER_EQUIPPED,,False,10,False,False,2,False,AS_NEW
5537,HOUSE,HOUSE,359000,sale,4,268,HYPER_EQUIPPED,,False,287,287,268,3,False,AS_NEW
5060,HOUSE,HOUSE,140000,sale,2,92,SEMI_EQUIPPED,,False,False,False,92,2,False,False
3190,APARTMENT,APARTMENT,425000,sale,2,70,INSTALLED,,False,20,False,70,2,False,GOOD
2020,APARTMENT,APARTMENT,145000,sale,2,74,NOT_INSTALLED,,False,7,False,74,2,False,TO_RENOVATE
1480,APARTMENT,APARTMENT,275000,sale,3,130,INSTALLED,,False,18,False,130,2,False,GOOD
9000,APARTMENT,FLAT_STUDIO,199000,sale,1,134,INSTALLED,,False,False,False,134,2,False,GOOD
1000,APARTMENT,APARTMENT,875000,sale,3,165,HYPER_EQUIPPED,,1,20,False,165,2,False,AS_NEW
4800,HOUSE,HOUSE,214500,sale,3,164,INSTALLED,False,False,False,False,164,3,False,GOOD
5300,HOUSE,HOUSE,385000,sale,3,245,HYPER_EQUIPPED,,False,False,False,245,4,False,GOOD
2200,HOUSE,HOUSE,328000,sale,3,135,False,False,False,10,False,135,4,False,False
2180,HOUSE,HOUSE,475000,sale,4,192,INSTALLED,,False,False,False,192,4,False,GOOD
7090,APARTMENT,APARTMENT,199000,sale,2,81,False,False,False,10,False,81,2,False,False
3971,APARTMENT,APARTMENT,185000,sale,2,110,False,,False,17,False,110,False,False,GOOD
3582,HOUSE,HOUSE,355000,sale,3,171,False,,False,False,False,171,3,False,AS_NEW
3582,HOUSE,HOUSE,350000,sale,3,171,False,,False,False,False,171,3,False,AS_NEW
3582,HOUSE,HOUSE,350000,sale,3,171,False,,False,False,False,171,3,False,AS_NEW
3200,HOUSE,HOUSE,245000,sale,2,146,SEMI_EQUIPPED,,False,12,48,146,2,False,GOOD
8510,HOUSE,HOUSE,235000,sale,3,160,INSTALLED,,False,False,75,160,2,False,TO_BE_DONE_UP
7700,HOUSE,HOUSE,225000,sale,4,140,INSTALLED,,False,False,False,140,False,False,GOOD
4130,HOUSE,HOUSE,399000,sale,4,140,INSTALLED,,False,65,320,140,4,False,TO_BE_DONE_UP
4860,HOUSE,TOWN_HOUSE,249000,sale,3,156,INSTALLED,False,False,False,20,156,2,False,AS_NEW
4100,HOUSE,HOUSE,169000,sale,4,118,INSTALLED,False,False,19,140,118,2,False,GOOD
1330,HOUSE,HOUSE,545000,sale,5,200,SEMI_EQUIPPED,False,False,False,False,200,4,False,TO_BE_DONE_UP
1640,HOUSE,HOUSE,399000,sale,3,150,INSTALLED,,False,10,271,150,3,False,GOOD
2610,HOUSE,HOUSE,285000,sale,2,136,SEMI_EQUIPPED,False,False,30,330,136,2,False,TO_RENOVATE
6850,HOUSE,HOUSE,229000,sale,4,144,SEMI_EQUIPPED,False,False,10,150,144,3,False,GOOD
9051,HOUSE,HOUSE,289000,sale,2,100,INSTALLED,,False,10,150,100,4,False,GOOD
1190,HOUSE,HOUSE,915000,sale,6,335,HYPER_EQUIPPED,False,False,False,200,335,2,False,TO_BE_DONE_UP
9550,HOUSE,VILLA,849000,sale,4,225,HYPER_EQUIPPED,False,False,50,400,225,4,False,AS_NEW
2860,HOUSE,HOUSE,588000,sale,4,159,INSTALLED,,False,False,False,159,3,False,GOOD
9401,HOUSE,HOUSE,299000,sale,3,178,INSTALLED,,False,False,False,178,3,False,GOOD
2800,HOUSE,HOUSE,349000,sale,2,100,INSTALLED,,False,False,17,100,2,False,GOOD
6730,HOUSE,HOUSE,160000,sale,3,120,HYPER_EQUIPPED,False,False,25,400,120,4,False,TO_RENOVATE
2570,HOUSE,HOUSE,398000,sale,4,165,SEMI_EQUIPPED,,False,40,160,165,2,False,False
8530,HOUSE,HOUSE,356000,sale,3,120,INSTALLED,,False,False,False,120,2,False,GOOD
1390,HOUSE,HOUSE,1150000,sale,5,400,INSTALLED,False,False,False,3000,400,4,False,GOOD
8510,HOUSE,VILLA,895000,sale,3,400,HYPER_EQUIPPED,False,False,80,900,400,4,True,GOOD
9000,HOUSE,HOUSE,545000,sale,4,203,INSTALLED,,False,False,25,203,2,False,JUST_RENOVATED
1420,HOUSE,HOUSE,275000,sale,3,100,SEMI_EQUIPPED,False,False,15,141,100,2,False,TO_BE_DONE_UP
4400,HOUSE,HOUSE,155000,sale,3,146,SEMI_EQUIPPED,,False,20,425,146,3,False,TO_RENOVATE
9030,HOUSE,HOUSE,545000,sale,4,203,INSTALLED,,False,False,25,203,2,False,JUST_RENOVATED
9550,HOUSE,HOUSE,449000,sale,3,204,HYPER_EQUIPPED,False,False,20,90,204,3,False,AS_NEW
2660,HOUSE,HOUSE,575000,sale,2,198,INSTALLED,,False,False,772,198,4,False,GOOD
2880,HOUSE,HOUSE,298000,sale,2,154,INSTALLED,,False,45,False,154,3,False,GOOD
2180,HOUSE,HOUSE,475000,sale,4,192,INSTALLED,,False,False,False,192,4,False,GOOD
3971,APARTMENT,APARTMENT,185000,sale,2,110,False,,False,17,False,110,False,False,GOOD
3582,HOUSE,HOUSE,350000,sale,3,171,False,,False,False,False,171,3,False,AS_NEW
3582,HOUSE,HOUSE,355000,sale,3,171,False,,False,False,False,171,3,False,AS_NEW
3582,HOUSE,HOUSE,350000,sale,3,171,False,,False,False,False,171,3,False,AS_NEW
3800,HOUSE,HOUSE,349000,sale,3,309,False,,False,False,1236,309,3,False,AS_NEW
5300,HOUSE,HOUSE,149000,sale,4,130,SEMI_EQUIPPED,,False,False,False,130,2,False,TO_BE_DONE_UP
8500,HOUSE,HOUSE,228000,sale,3,133,False,,False,False,60,133,2,False,AS_NEW
4040,HOUSE,HOUSE,159500,sale,2,140,NOT_INSTALLED,,False,20,75,140,3,False,TO_BE_DONE_UP
1450,HOUSE,HOUSE,500000,sale,3,117,HYPER_EQUIPPED,,False,38,False,117,4,True,False
3650,APARTMENT,GROUND_FLOOR,279000,sale,2,161,False,,False,False,False,161,False,False,AS_NEW
1070,APARTMENT,APARTMENT,149000,sale,1,57,NOT_INSTALLED,False,False,10,False,57,False,False,False
2140,APARTMENT,PENTHOUSE,375000,sale,2,False,INSTALLED,,False,16,False,False,2,False,AS_NEW
2140,APARTMENT,APARTMENT,169000,sale,2,76,NOT_INSTALLED,,False,False,False,76,2,False,GOOD
2140,HOUSE,TOWN_HOUSE,435000,sale,3,155,False,,False,False,False,155,2,False,GOOD
4400,HOUSE,HOUSE,119000,sale,1,75,NOT_INSTALLED,,False,20,50,75,2,False,TO_RENOVATE
1440,HOUSE,HOUSE,725000,sale,4,272,HYPER_EQUIPPED,False,False,44,585,272,3,False,AS_NEW
9320,HOUSE,HOUSE,295000,sale,3,170,SEMI_EQUIPPED,,False,False,False,170,3,False,TO_RENOVATE
8740,HOUSE,MIXED_USE_BUILDING,1995000,sale,8,800,INSTALLED,True,False,False,False,800,False,False,GOOD
1840,HOUSE,HOUSE,699000,sale,4,300,False,,False,80,1200,300,False,False,GOOD
2811,HOUSE,HOUSE,450000,sale,3,240,INSTALLED,,False,False,400,240,False,False,TO_RENOVATE
2580,HOUSE,HOUSE,287000,sale,2,122,False,,False,False,878,122,4,False,TO_RENOVATE
4500,HOUSE,HOUSE,149500,sale,2,90,INSTALLED,,False,False,False,90,2,False,TO_BE_DONE_UP
1440,HOUSE,HOUSE,725000,sale,4,272,HYPER_EQUIPPED,False,False,44,585,272,3,False,AS_NEW
8740,HOUSE,COUNTRY_COTTAGE,1995000,sale,8,800,INSTALLED,True,False,False,False,800,False,False,GOOD
9620,HOUSE,HOUSE,275000,sale,3,177,INSTALLED,False,False,12,170,177,3,False,TO_RENOVATE
9600,HOUSE,HOUSE,225000,sale,3,175,SEMI_EQUIPPED,,False,False,False,175,3,False,TO_BE_DONE_UP
1083,HOUSE,HOUSE,489000,sale,3,162,INSTALLED,,False,20,116,162,3,False,GOOD
1020,HOUSE,HOUSE,445000,sale,4,166,HYPER_EQUIPPED,False,False,64,False,166,2,False,GOOD
5555,HOUSE,HOUSE,649000,sale,6,370,INSTALLED,True,False,80,2500,370,4,False,GOOD
1410,HOUSE,HOUSE,595000,sale,4,145,HYPER_EQUIPPED,False,False,20,300,145,4,False,TO_BE_DONE_UP
9900,HOUSE,APARTMENT_BLOCK,299000,sale,4,165,INSTALLED,,False,False,False,165,2,False,GOOD
9700,HOUSE,HOUSE,599000,sale,3,188,HYPER_EQUIPPED,,False,False,False,188,4,True,GOOD
1970,HOUSE,HOUSE,925000,sale,4,290,False,,False,False,200,290,3,False,False
1180,HOUSE,VILLA,1500000,sale,4,300,HYPER_EQUIPPED,,False,False,1085,300,4,False,TO_RENOVATE
1070,HOUSE,APARTMENT_BLOCK,470000,sale,8,250,INSTALLED,False,False,10,45,250,2,False,TO_RENOVATE
6840,HOUSE,HOUSE,955000,sale,6,302,HYPER_EQUIPPED,False,False,40,6414,302,4,True,AS_NEW
6852,HOUSE,HOUSE,199000,sale,4,140,SEMI_EQUIPPED,False,False,20,950,140,4,False,TO_RENOVATE
9230,HOUSE,VILLA,549000,sale,4,300,HYPER_EQUIPPED,,False,False,500,300,4,False,GOOD
2520,HOUSE,VILLA,625000,sale,5,275,INSTALLED,,1,20,1310,275,4,True,GOOD
9600,HOUSE,HOUSE,159500,sale,2,121,SEMI_EQUIPPED,,False,20,175,121,2,False,GOOD
9260,HOUSE,HOUSE,249000,sale,3,132,SEMI_EQUIPPED,,False,54,358,132,3,False,TO_RENOVATE
3051,HOUSE,HOUSE,395000,sale,3,121,INSTALLED,,False,False,False,121,2,False,JUST_RENOVATED
6890,HOUSE,HOUSE,169000,sale,3,145,NOT_INSTALLED,,False,False,False,145,2,False,TO_RENOVATE
9700,HOUSE,HOUSE,375000,sale,3,False,HYPER_EQUIPPED,False,False,False,False,False,3,False,GOOD
3500,HOUSE,HOUSE,390000,sale,3,140,INSTALLED,,False,10,500,140,False,False,False
1200,APARTMENT,APARTMENT,525000,sale,4,137,HYPER_EQUIPPED,False,False,15,30,137,2,False,TO_BE_DONE_UP
9402,HOUSE,HOUSE,249000,sale,2,91,False,False,False,8,False,91,3,False,GOOD
1360,HOUSE,MIXED_USE_BUILDING,295000,sale,4,270,HYPER_EQUIPPED,False,False,False,False,270,2,False,GOOD
8310,HOUSE,HOUSE,376500,sale,3,135,False,,False,7,31,135,2,False,GOOD
2100,APARTMENT,APARTMENT,735000,sale,6,328,False,,False,False,False,328,False,False,TO_RENOVATE
7940,HOUSE,COUNTRY_COTTAGE,360000,sale,3,195,False,,False,25,False,195,4,False,GOOD
4300,HOUSE,HOUSE,249000,sale,3,120,INSTALLED,,False,67,688,120,2,False,GOOD
9700,HOUSE,HOUSE,599000,sale,3,188,HYPER_EQUIPPED,,False,False,False,188,4,True,GOOD
7730,HOUSE,VILLA,649000,sale,4,300,INSTALLED,False,False,False,2290,300,4,True,JUST_RENOVATED
6940,HOUSE,CASTLE,1600000,sale,7,False,INSTALLED,False,False,False,False,False,4,True,TO_BE_DONE_UP
7350,HOUSE,HOUSE,279000,sale,3,190,SEMI_EQUIPPED,False,False,22,600,190,4,False,GOOD
1780,HOUSE,VILLA,754000,sale,4,253,HYPER_EQUIPPED,False,False,False,350,253,4,False,TO_BE_DONE_UP
1200,APARTMENT,APARTMENT,315000,sale,2,91,HYPER_EQUIPPED,False,False,3,False,91,False,False,GOOD
1740,HOUSE,HOUSE,409000,sale,3,135,False,,False,False,False,135,4,False,GOOD
3700,HOUSE,HOUSE,399500,sale,4,360,NOT_INSTALLED,False,False,40,140,360,3,False,TO_RENOVATE
3201,HOUSE,HOUSE,268000,sale,3,144,SEMI_EQUIPPED,False,False,12,168,144,2,False,False
4500,HOUSE,HOUSE,450000,sale,3,190,INSTALLED,,False,False,False,190,4,False,GOOD
2800,HOUSE,HOUSE,423000,sale,2,119,INSTALLED,,False,7,54,119,2,False,GOOD
1700,HOUSE,HOUSE,355000,sale,2,115,INSTALLED,False,False,30,450,115,3,False,TO_BE_DONE_UP
9170,HOUSE,HOUSE,395000,sale,4,170,INSTALLED,,False,20,118,170,2,False,GOOD
9600,HOUSE,MANSION,265000,sale,4,185,INSTALLED,,False,False,False,185,3,False,JUST_RENOVATED
1331,HOUSE,HOUSE,435000,sale,5,233,NOT_INSTALLED,False,False,50,560,233,3,False,TO_RENOVATE
1570,HOUSE,BUNGALOW,420000,sale,4,200,INSTALLED,False,False,25,400,200,4,False,TO_BE_DONE_UP
4031,HOUSE,HOUSE,189000,sale,2,96,NOT_INSTALLED,False,False,42,225,96,4,False,AS_NEW
2800,HOUSE,HOUSE,349000,sale,4,186,SEMI_EQUIPPED,,False,False,False,186,3,False,TO_BE_DONE_UP
9300,HOUSE,HOUSE,249000,sale,4,190,INSTALLED,False,False,10,90,190,2,False,TO_RENOVATE
9800,HOUSE,HOUSE,680000,sale,3,193,INSTALLED,,False,False,False,193,False,False,GOOD
1331,HOUSE,APARTMENT_BLOCK,435000,sale,5,233,NOT_INSTALLED,False,False,50,560,233,3,False,TO_RENOVATE
1160,HOUSE,HOUSE,595000,sale,5,208,HYPER_EQUIPPED,False,False,5,110,208,2,False,TO_RENOVATE
1410,HOUSE,HOUSE,375000,sale,3,137,NOT_INSTALLED,False,False,False,488,137,3,False,TO_RENOVATE
9810,HOUSE,HOUSE,680000,sale,3,193,INSTALLED,,False,False,False,193,False,False,GOOD
9230,HOUSE,HOUSE,469000,sale,4,214,HYPER_EQUIPPED,,False,40,300,214,4,False,GOOD
4400,HOUSE,HOUSE,249000,sale,2,220,NOT_INSTALLED,,False,16,False,220,2,False,TO_RESTORE
4030,HOUSE,HOUSE,239000,sale,3,150,INSTALLED,,False,9,120,150,2,False,GOOD
4600,HOUSE,HOUSE,479000,sale,6,226,HYPER_EQUIPPED,False,1,80,810,226,4,False,AS_NEW
6953,HOUSE,HOUSE,249000,sale,3,120,INSTALLED,,False,15,100,120,2,False,JUST_RENOVATED
4400,HOUSE,APARTMENT_BLOCK,249000,sale,2,220,NOT_INSTALLED,,False,16,False,220,2,False,TO_RESTORE
2811,HOUSE,HOUSE,495000,sale,5,223,INSTALLED,,False,False,473,223,4,False,GOOD
2610,HOUSE,HOUSE,295000,sale,4,138,INSTALLED,,False,False,45,138,2,False,TO_RENOVATE
9600,HOUSE,VILLA,415000,sale,4,194,INSTALLED,False,False,15,615,194,4,False,GOOD
9280,HOUSE,MIXED_USE_BUILDING,295000,sale,4,265,SEMI_EQUIPPED,,False,False,False,265,3,False,TO_RENOVATE
2660,HOUSE,HOUSE,299900,sale,4,170,SEMI_EQUIPPED,,False,False,41,170,3,False,GOOD
1190,HOUSE,HOUSE,735000,sale,5,302,USA_HYPER_EQUIPPED,,1,10,50,302,2,False,GOOD
1880,HOUSE,HOUSE,650000,sale,4,250,SEMI_EQUIPPED,,False,False,False,250,4,False,TO_BE_DONE_UP
